Date,Close
4/9/16,606.59
5/9/16,610.44
6/9/16,614.54
7/9/16,626.32
8/9/16,622.86
9/9/16,623.51
10/9/16,606.72
11/9/16,608.24
12/9/16,609.24
13/9/16,610.68
14/9/16,607.15
15/9/16,606.97
16/9/16,605.98
17/9/16,609.87
18/9/16,609.23
19/9/16,608.31
20/9/16,597.15
21/9/16,596.3
22/9/16,602.84
23/9/16,602.63
24/9/16,600.83
25/9/16,608.04
26/9/16,606.17
27/9/16,604.73
28/9/16,605.69
29/9/16,609.74
30/9/16,613.98
1/10/16,610.89
2/10/16,612.13
3/10/16,610.2
4/10/16,612.51
5/10/16,613.02
6/10/16,617.12
7/10/16,619.11
8/10/16,616.75
9/10/16,618.99
10/10/16,641.07
11/10/16,636.19
12/10/16,636.79
13/10/16,640.38
14/10/16,638.65
15/10/16,641.63
16/10/16,639.19
17/10/16,637.96
18/10/16,630.52
19/10/16,630.86
20/10/16,632.83
21/10/16,657.29
22/10/16,657.07
23/10/16,653.76
24/10/16,657.59
25/10/16,678.3
26/10/16,688.31
27/10/16,689.65
28/10/16,714.48
29/10/16,701.86
30/10/16,700.97
31/10/16,729.79
1/11/16,740.83
2/11/16,688.7
3/11/16,703.24
4/11/16,703.42
5/11/16,711.52
6/11/16,703.13
7/11/16,709.85
8/11/16,723.27
9/11/16,715.53
10/11/16,716.41
11/11/16,705.05
12/11/16,702.03
13/11/16,705.02
14/11/16,711.62
15/11/16,744.2
16/11/16,740.98
17/11/16,751.59
18/11/16,751.62
19/11/16,731.03
20/11/16,739.25
21/11/16,751.35
22/11/16,744.59
23/11/16,740.29
24/11/16,741.65
25/11/16,735.38
26/11/16,732.03
27/11/16,735.81
28/11/16,735.6
29/11/16,745.69
30/11/16,756.77
1/12/16,777.94
2/12/16,771.15
3/12/16,773.87
4/12/16,758.7
5/12/16,764.22
6/12/16,768.13
7/12/16,770.81
8/12/16,772.79
9/12/16,774.65
10/12/16,769.73
11/12/16,780.09
12/12/16,780.56
13/12/16,781.48
14/12/16,778.09
15/12/16,784.91
16/12/16,790.83
17/12/16,790.53
18/12/16,792.71
19/12/16,800.88
20/12/16,834.28
21/12/16,864.54
